year,애호박_true,애호박_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,15383.749916666668,15451.25991666667,16141.449975000001,16364.248774999996,1,1,1.0,1.0,757.7000583333338,912.9888583333268,757.7000583333338,912.9888583333268,757.7000583333338
2007,18172.166583333335,18472.26741666667,16981.266625,17092.674991666663,0,0,0.5,0.5,0.0,0.0,378.8500291666669,456.4944291666634,189.42501458333345
2008,14996.916583333334,14948.006416666665,17116.28326666667,17321.076474999998,1,1,0.6666666666666666,0.6666666666666666,2119.3666833333355,2373.070058333333,959.0222472222231,1095.35297222222,639.3481648148154
2009,16811.75,17198.383749999997,16355.583266666668,16454.204724999996,0,0,0.5,0.5,0.0,0.0,719.2666854166673,821.5147291666649,359.63334270833366
2010,21899.083500000004,21325.473208333333,16412.283300000003,16576.31015833333,0,0,0.4,0.4,0.0,0.0,575.4133483333338,657.2117833333319,230.16533933333355
2011,21110.499666666667,20553.748666666666,17452.73331666667,17479.078141666665,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,479.51112361111154,547.67648611111,159.83704120370385
2012,22043.750083333336,22038.174916666667,18598.08326666667,18499.575891666667,0,0,0.2857142857142857,0.2857142857142857,0.0,0.0,411.0095345238099,469.4369880952371,117.4312955782314
2013,20570.666666666668,19997.713,19372.399966666668,19212.757391666666,0,0,0.25,0.25,0.0,0.0,359.63334270833366,410.75736458333245,89.90833567708341
2014,18994.083083333335,19056.327583333332,20487.149983333333,20222.698708333333,1,1,0.3333333333333333,0.3333333333333333,1493.066899999998,1166.3711250000015,485.5704046296297,494.71444907407346,161.85680154320988
2015,19324.833333333332,19677.97525,20923.6166,20594.287475,1,1,0.4,0.4,1598.783266666669,916.3122250000015,596.8916908333337,536.8742266666662,238.75667633333347
2016,21940.666500000003,21774.897833333333,20408.766566666665,20264.787883333334,0,0,0.36363636363636365,0.36363636363636365,0.0,0.0,542.6288098484852,488.06747878787843,197.31956721763098
2017,19588.499666666667,19156.005333333338,20574.799933333332,20509.01771666667,1,1,0.4166666666666667,0.4166666666666667,986.3002666666653,1353.012383333331,579.6014312500001,560.1462208333328,241.50059635416673
2018,22859.083333333332,26978.65408333334,20083.74985,19932.5838,0,0,0.38461538461538464,0.38461538461538464,0.0,0.0,535.0167057692308,517.0580499999995,205.77565606508878
2019,18550.583333333332,18102.82629166667,20541.43318333333,21328.77201666667,1,1,0.42857142857142855,0.42857142857142855,1990.8498499999987,3225.9457249999978,639.0047875,710.5500267857136,273.8591946428571
2020,23289.916583333335,23229.096583333332,20452.73323333333,21138.07175833334,0,0,0.4,0.4,0.0,0.0,596.4044683333334,663.1800249999994,238.56178733333337
