연월,양배추_true,양배추_pred
2001_7,4206.0,3853.5093
2001_8,3923.0,4515.525
2001_9,5804.0,4159.8755
2001_10,6203.0005,6980.3164
2001_11,3900.9998,5496.3223
2001_12,2167.9998,3146.8687
2002_1,1987.0,2830.5266
2002_2,2001.0001,2238.8137
2002_3,1941.0,2255.921
2002_4,2213.0002,2835.6792
2002_5,2700.9998,2649.729
2002_6,2449.0,2763.5605
2002_7,3147.0,2805.4436
2002_8,2341.0,3640.8079
2002_9,2644.0,2779.168
2002_10,3764.9998,4093.7725
2002_11,3825.9998,3645.7476
2002_12,5025.0,4122.619
2003_1,8613.0,5728.1553
2003_2,9484.0,8610.277
2003_3,8665.0,8983.85
2003_4,7924.0,8000.9194
2003_5,6156.0,7620.0786
2003_6,4849.9995,4354.569
2003_7,2549.9998,4058.8857
2003_8,2675.0,1004.3261
2003_9,3412.0,5260.6445
2003_10,4556.0,3412.7432
2003_11,7568.0,6084.1113
2003_12,6124.0,7887.7593
2004_1,4751.0,5274.3335
2004_2,4437.0,4586.2456
2004_3,4979.0,4333.838
2004_4,5633.0,6148.7476
2004_5,5917.0,6242.797
2004_6,5997.0,6890.8833
2004_7,5888.0,7206.317
2004_8,7641.0,7325.1714
2004_9,15887.0,9547.953
2004_10,7284.0,6937.1396
2004_11,4309.0,5956.251
2004_12,2977.9998,3261.9998
2005_1,2488.0,2289.948
2005_2,2805.9998,2870.625
2005_3,3179.0,4668.8037
2005_4,3193.0,3588.112
2005_5,3638.9998,3929.1873
2005_6,4918.0,4318.8975
2005_7,3680.0,5222.6533
2005_8,4343.0,4059.2915
2005_9,5212.9995,5778.457
2005_10,6523.0,5202.9336
2005_11,7114.0,7389.7554
2005_12,6083.0,7886.5386
2006_1,6918.0,6912.0024
2006_2,6035.0,8643.963
2006_3,5431.0,6717.674
2006_4,4177.0,6288.246
2006_5,4180.0,4712.9414
2006_6,5854.9995,5174.9194
2006_7,4112.0,7624.8877
2006_8,3288.0,2815.5186
2006_9,7073.0,4098.1357
2006_10,6714.0,8155.405
2006_11,4862.0,5321.4473
2006_12,2514.0,3254.3477
2007_1,2559.0002,2404.2227
2007_2,2625.0,3184.2644
2007_3,2857.0002,2016.6934
2007_4,3632.0,4647.6216
2007_5,5533.0,4091.5276
2007_6,5133.0,5631.049
2007_7,3120.0,4891.716
