year,양배추_true,양배추_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,5096.583291666667,5809.95735,4798.449968333333,4914.830368333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,4939.500016666667,4835.319858333333,4944.266623333333,5138.407931666667,1,1,0.5,0.5,4.766606666666121,303.08807333333334,2.3833033333330604,151.54403666666667,1.1916516666665302
2008,5391.333375,5501.668808333335,5364.833298333333,5494.442093333333,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.588868888888707,101.02935777777778,0.5296229629629023
2009,5370.916625,5766.268141666667,5233.483318333333,5411.337198333333,0,0,0.25,0.25,0.0,0.0,1.1916516666665302,75.77201833333334,0.29791291666663255
2010,8700.750125,8454.079025000001,5045.983313333333,5336.0628799999995,0,0,0.2,0.2,0.0,0.0,0.9533213333332242,60.61761466666667,0.19066426666664485
2011,7678.666683333334,7657.477449999999,5899.816686666667,6073.458636666667,0,0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.7944344444443535,50.51467888888889,0.13240574074072559
2012,8246.416666666666,7893.519649999998,6416.233365000001,6442.962656666667,0,0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.6809438095237316,43.298296190476194,0.09727768707481879
2013,8503.000125,7946.494841666667,7077.6166950000015,7054.602614999999,0,0,0.125,0.125,0.0,0.0,0.5958258333332651,37.88600916666667,0.07447822916665814
2014,4510.3333,5019.095358333334,7699.9500450000005,7543.567821666666,1,1,0.2222222222222222,0.2222222222222222,3189.6167450000003,2524.4724633333317,354.93148351851846,314.1733929629628,78.87366300411522
2015,6314.000016666666,6795.823483333334,7527.833380000001,7394.133264999999,1,1,0.3,0.3,1213.833363333335,598.309781666665,440.82167150000015,342.587031833333,132.24650145000004
2016,8195.833308333333,7595.1698,7050.483358333334,7062.482156666665,0,0,0.2727272727272727,0.2727272727272727,0.0,0.0,400.7469740909092,311.4427562121209,109.29462929752069
2017,9025.583316666667,8143.138524999999,7153.916683333334,7050.020626666666,0,0,0.25,0.25,0.0,0.0,367.3513929166668,285.48919319444417,91.8378482291667
2018,8284.000041666666,7202.286575000001,7309.750013333333,7099.9444016666675,0,0,0.23076923076923078,0.23076923076923078,0.0,0.0,339.09359346153855,263.52848602564075,78.25236772189352
2019,5605.666625000001,5946.029008333334,7265.949996666667,6951.102748333334,1,1,0.2857142857142857,0.2857142857142857,1660.2833716666664,1005.0737399999998,433.464291904762,316.4960041666664,123.8469405442177
2020,11144.500041666668,9561.190266666667,7485.016661666667,7136.489478333334,0,0,0.26666666666666666,0.26666666666666666,0.0,0.0,404.5666724444445,295.3962705555553,107.88444598518521
