연월,양파_true,양파_pred
2001_7,6573.0,4966.8496
2001_8,7155.0005,7372.134
2001_9,7003.0005,7444.892
2001_10,7630.0,7221.3276
2001_11,8753.0,8276.297
2001_12,8969.0,9198.702
2002_1,9000.0,9541.526
2002_2,9000.0,10040.475
2002_3,8868.999,10088.9375
2002_4,7833.9995,9763.417
2002_5,6461.9995,8595.001
2002_6,5755.0005,7166.1045
2002_7,6661.0005,6267.4277
2002_8,6966.0,6837.9106
2002_9,7308.9995,6860.165
2002_10,8529.0,7542.881
2002_11,9035.0,9025.421
2002_12,9439.999,9550.802
2003_1,10758.0,10410.423
2003_2,15485.001,12085.999
2003_3,21087.0,17345.23
2003_4,34746.0,22037.068
2003_5,31607.002,31829.385
2003_6,13972.001,17901.184
2003_7,10373.0,9741.32
2003_8,12003.001,10552.543
2003_9,14612.001,13290.086
2003_10,17167.0,17795.627
2003_11,17472.0,17932.395
2003_12,17789.0,17599.375
2004_1,18411.0,17984.312
2004_2,17765.0,19213.857
2004_3,17693.0,17500.78
2004_4,17129.0,17622.137
2004_5,15329.001,17431.844
2004_6,9187.0,14746.034
2004_7,8080.0005,7560.1157
2004_8,8646.999,7598.823
2004_9,11041.999,9483.704
2004_10,12223.0,11723.192
2004_11,11859.0,13077.397
2004_12,11885.0,13262.68
2005_1,11850.0,13722.294
2005_2,11954.001,13147.456
2005_3,15207.001,13020.697
2005_4,18631.0,17124.738
2005_5,20939.0,20067.947
2005_6,11489.0,20133.797
2005_7,8493.0,7853.4106
2005_8,7744.9995,8039.3057
2005_9,8357.0,8154.7197
2005_10,9552.999,9333.218
2005_11,9851.0,9966.307
2005_12,9832.999,10570.404
2006_1,9898.0,11062.793
2006_2,10189.0,11210.554
2006_3,12008.001,11316.497
2006_4,17091.0,13364.254
2006_5,17523.0,19103.215
2006_6,13568.001,17464.354
2006_7,8964.0,12515.694
2006_8,11704.001,9041.712
2006_9,14691.001,12999.96
2006_10,16205.0,16516.254
2006_11,18337.0,16670.365
2006_12,21029.0,19594.795
2007_1,24634.0,21897.781
2007_2,22118.0,24386.672
2007_3,20326.0,19411.334
2007_4,14044.0,20286.043
2007_5,15765.001,14358.265
2007_6,6433.9995,15818.149
2007_7,6922.0005,5735.14
2007_8,6568.0005,5671.7363
2007_9,7225.0005,7206.197
2007_10,8864.0,7767.896
2007_11,9245.0,9160.233
2007_12,9756.0,9701.881
2008_1,10067.0,10938.171
2008_2,10331.001,11384.368
2008_3,10571.0,11508.835
2008_4,10434.0,11799.044
2008_5,14579.001,11585.987
2008_6,11836.001,16631.293
2008_7,12998.0,12283.472
2008_8,15257.0,14659.443
2008_9,15536.0,17775.855
2008_10,15552.0,15934.14
