year,양파_true,양파_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,14267.250333333335,14238.370583333332,11787.483408333334,11785.004623333332,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,12658.416833333331,13450.110608333336,13104.833441666668,13150.005333333334,1,0,0.5,0.0,446.4166083333366,0.0,223.2083041666683,0.0,111.60415208333416
2008,13517.666916666669,14011.160666666668,14055.516850000004,14152.02631666667,1,1,0.6666666666666666,0.3333333333333333,537.8499333333348,140.86565000000155,328.0888472222238,46.955216666667184,218.7258981481492
2009,17159.750083333332,17684.901583333336,13141.200133333337,13645.581200000004,0,0,0.5,0.25,0.0,0.0,246.06663541666785,35.21641250000039,123.03331770833393
2010,17226.250083333332,16988.16025,13918.98349166667,14395.81358833334,0,0,0.4,0.2,0.0,0.0,196.85330833333427,28.17313000000031,78.74132333333371
2011,16445.583749999998,16856.24883333333,14965.866850000002,15274.54073833334,0,0,0.3333333333333333,0.16666666666666666,0.0,0.0,164.0444236111119,23.477608333333592,54.6814745370373
2012,16993.25025,16701.416583333328,15401.533533333335,15798.11638833334,0,0,0.2857142857142857,0.14285714285714285,0.0,0.0,140.60950595238162,20.123664285714508,40.17414455782332
2013,26922.333416666665,25945.64616666667,16268.500216666667,16448.37758333334,0,0,0.25,0.125,0.0,0.0,123.03331770833393,17.608206250000194,30.75832942708348
2014,12376.167000000001,13410.508333333331,18949.433516666664,18835.27468333334,1,1,0.3333333333333333,0.2222222222222222,6573.266516666663,5424.766350000009,839.7258953703705,618.4035555555567,279.9086317901235
2015,19092.16675,17918.818583333334,17992.7169,17980.396033333338,0,1,0.3,0.3,0.0,61.57745000000432,755.7533058333335,562.7209450000015,226.72599175000002
2016,23495.083666666662,23074.903083333335,18365.900233333334,18166.527700000002,0,0,0.2727272727272727,0.2727272727272727,0.0,0.0,687.048459848485,511.56449545454683,187.37685268595044
2017,24362.166500000003,24244.43358333333,19775.800216666667,19410.258550000006,0,0,0.25,0.25,0.0,0.0,629.7944215277779,468.9341208333346,157.44860538194447
2018,17333.917166666663,18674.659333333337,21249.58346666667,20918.861950000006,1,1,0.3076923076923077,0.3076923076923077,3915.666300000008,2244.202616666669,882.5537967948725,605.4932358974372,271.5550143984223
2019,11918.25025,12722.355624999998,19331.90021666667,19464.66458333334,1,1,0.35714285714285715,0.35714285714285715,7413.64996666667,6742.30895833334,1349.0606660714293,1043.8372160714302,481.8073807397962
2020,20456.667,19453.813916666666,19240.316866666668,19327.03404166667,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,1259.123288333334,974.2480683333349,419.70776277777793
