year,오이(가시)_true,오이(가시)_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,16430.583499999997,16599.84,14626.116899999999,14964.629041666665,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,17408.3335,17817.699458333333,15781.300199999998,16062.10500833333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,14489.083541666667,14569.341166666665,16055.950208333332,16302.819649999996,1,1,0.3333333333333333,0.3333333333333333,1566.866666666665,1733.4784833333306,522.2888888888883,577.8261611111102,174.0962962962961
2009,17914.666833333333,18340.826666666664,15747.450199999997,15956.589899999995,0,0,0.25,0.25,0.0,0.0,391.71666666666624,433.36962083333265,97.92916666666656
2010,25681.49975,25154.06058333333,16378.950208333332,16568.985408333327,0,0,0.2,0.2,0.0,0.0,313.373333333333,346.6956966666661,62.6746666666666
2011,19807.91675,19794.69525,18384.833424999997,18496.353574999994,0,0,0.16666666666666666,0.16666666666666666,0.0,0.0,261.14444444444416,288.9130805555551,43.52407407407402
2012,25346.000333333333,25601.332583333333,19060.300075,19135.324624999994,0,0,0.14285714285714285,0.14285714285714285,0.0,0.0,223.838095238095,247.63978333333293,31.976870748299284
2013,23921.49975,23675.63966666667,20647.833441666666,20692.051249999997,0,0,0.125,0.125,0.0,0.0,195.85833333333312,216.68481041666632,24.48229166666664
2014,20075.8335,19767.51958333333,22534.31668333333,22513.310949999996,1,1,0.2222222222222222,0.2222222222222222,2458.48318333333,2745.7913666666645,447.26109444444387,497.69664999999947,99.39135432098752
2015,20619.416916666665,19981.87725,22966.550016666668,22798.649533333333,1,1,0.3,0.3,2347.1331000000027,2816.772283333332,637.2482949999998,729.6042133333327,191.1744884999999
2016,26239.50025,25054.505374999997,21954.133449999998,21764.212866666665,0,0,0.2727272727272727,0.2727272727272727,0.0,0.0,579.3166318181816,663.276557575757,157.99544504132223
2017,22977.583333333332,23314.0235,23240.450149999997,22816.174891666662,1,0,0.3333333333333333,0.25,262.8668166666648,0.0,552.9458138888886,608.0035111111106,184.31527129629617
2018,23325.666500000003,23386.217,22766.76675,22358.713074999996,0,0,0.3076923076923077,0.23076923076923078,0.0,0.0,510.4115205128202,561.2340102564098,157.0496986193293
2019,22874.75,23577.479583333334,22647.600099999996,22300.828541666662,0,0,0.2857142857142857,0.21428571428571427,0.0,0.0,473.95355476190446,521.1458666666662,135.41530136054413
2020,25466.832916666666,23743.73820833334,23207.38339999999,23062.82054166666,0,0,0.26666666666666666,0.2,0.0,0.0,442.35665111111086,486.40280888888844,117.96177362962956
