연월,적상추_true,적상추_pred
2001_7,7894.9995,8057.262
2001_8,14480.0,9886.414
2001_9,8335.001,15310.264
2001_10,6405.0,8997.8
2001_11,5885.0,8509.153
2001_12,8418.0,9753.29
2002_1,9350.001,11462.486
2002_2,9808.0,11723.122
2002_3,6893.0005,12125.469
2002_4,4689.9995,10765.483
2002_5,4408.0,9522.384
2002_6,5155.0,6301.61
2002_7,5760.9995,5363.597
2002_8,9790.001,10685.24
2002_9,22365.0,13385.348
2002_10,16804.0,15984.644
2002_11,8962.001,11303.989
2002_12,12654.0,10664.066
2003_1,11708.0,13645.178
2003_2,18430.0,11865.923
2003_3,8696.0,20371.451
2003_4,8410.0,10113.809
2003_5,6347.0,5164.614
2003_6,7922.0,9610.848
2003_7,6922.0005,8762.494
2003_8,11000.0,9908.43
2003_9,10692.0,12755.657
2003_10,26793.0,13356.7705
2003_11,16298.0,19683.531
2003_12,7955.0,8390.883
2004_1,8962.001,5256.804
2004_2,7217.001,5858.8525
2004_3,6792.0,5726.827
2004_4,8034.0005,7707.053
2004_5,8104.0,11534.147
2004_6,8656.0,10476.228
2004_7,6774.0005,12098.489
2004_8,20674.0,11380.224
2004_9,13870.0,18834.678
2004_10,16439.0,13982.217
2004_11,10794.0,10797.403
2004_12,6491.9995,8410.738
2005_1,6333.001,11884.627
2005_2,8618.999,9882.972
2005_3,7902.0005,8564.081
2005_4,6969.9995,7215.9624
2005_5,6889.0,11059.876
2005_6,6439.0,11649.377
2005_7,5786.0005,9716.212
2005_8,18758.0,10036.828
2005_9,21556.0,17553.502
2005_10,18303.0,15712.059
2005_11,18365.0,13707.355
2005_12,9775.0,11789.774
2006_1,13924.001,13138.566
2006_2,22167.0,20382.139
2006_3,8583.0,21372.693
2006_4,7303.0005,5843.3335
2006_5,7733.0,7127.632
2006_6,6950.0005,6448.74
2006_7,6421.0,6683.571
2006_8,16417.0,9967.387
2006_9,15561.001,16453.79
2006_10,13182.001,15403.125
2006_11,9508.999,10151.954
2006_12,11540.001,8521.445
2007_1,16300.0,13263.097
2007_2,12606.001,18044.805
2007_3,7140.0,15459.891
2007_4,6921.0005,9115.418
2007_5,7976.0005,9274.422
2007_6,6524.0,8204.399
2007_7,6100.0005,7277.866
2007_8,10508.001,10774.607
2007_9,16000.001,13324.448
2007_10,30548.998,16094.581
2007_11,21955.0,15785.684
2007_12,8045.0005,10314.043
2008_1,9245.999,11981.924
2008_2,8863.999,11629.707
2008_3,7731.0005,9183.405
2008_4,5539.999,8173.481
2008_5,7928.9995,10361.673
2008_6,8404.001,9835.232
2008_7,7517.0,10416.057
2008_8,10710.0,11208.653
2008_9,18300.0,13049.684
2008_10,10460.0,17982.074
2008_11,11409.001,10531.821
2008_12,12117.0,9947.76
2009_1,15000.0,16984.422
2009_2,19807.0,15621.306
2009_3,11867.0,20770.893
2009_4,10333.0,11371.289
2009_5,8894.001,6860.282
2009_6,7544.0,8856.409
2009_7,8590.999,9559.896
2009_8,21319.0,12470.85
2009_9,13524.001,20865.207
2009_10,8485.0,12716.108
2009_11,9540.0,8152.445
2009_12,15254.0,10471.359
2010_1,22460.0,15541.383
2010_2,29450.0,32434.852
2010_3,12105.001,13237.807
2010_4,15152.0,12986.982
2010_5,12636.0,13958.731
2010_6,10930.001,12288.194
2010_7,10810.001,10511.287
2010_8,15575.999,14457.481
2010_9,31932.002,19182.645
2010_10,60263.0,46190.004
2010_11,16237.999,19914.568
2010_12,10727.0,12904.782
2011_1,7696.001,8382.912
2011_2,10110.0,9952.26
2011_3,9394.0,9808.287
2011_4,9427.0,9921.926
2011_5,9610.0,10139.473
2011_6,14170.0,13242.359
2011_7,10133.0,14981.056
2011_8,36105.0,12758.512
2011_9,30745.002,25042.479
2011_10,17930.0,16733.05
2011_11,15050.0,15549.432
2011_12,14136.0,10989.9375
2012_1,20000.0,18347.182
2012_2,21500.0,19493.23
2012_3,13467.001,18337.85
2012_4,13476.0,13473.729
2012_5,11589.999,13256.793
2012_6,12142.999,14744.186
2012_7,10750.0,15428.336
2012_8,20073.0,15385.558
2012_9,32054.998,27537.01
2012_10,56850.0,42288.89
2012_11,19543.0,20281.738
2012_12,16200.0,15525.093
2013_1,17432.0,18621.271
2013_2,21636.0,20477.924
2013_3,14474.0,14310.809
2013_4,9745.0,15566.408
2013_5,12091.0,9951.47
2013_6,11104.999,14573.249
2013_7,13674.0,12350.926
2013_8,27113.0,18383.166
2013_9,26962.0,26698.309
2013_10,27100.0,25603.611
2013_11,23829.0,18644.506
2013_12,13819.0,19383.908
2014_1,13694.999,13438.962
2014_2,12370.0,16410.7
2014_3,10700.0,12166.261
2014_4,10648.0,12219.178
2014_5,12682.0,15134.511
2014_6,11916.001,18159.453
2014_7,11968.001,15932.194
2014_8,16565.0,13483.874
2014_9,28453.002,20139.383
2014_10,26233.0,39899.477
2014_11,16048.0,19977.943
2014_12,19510.0,17740.855
2015_1,26162.0,23496.18
2015_2,25819.0,23828.293
2015_3,19082.0,19610.877
2015_4,11791.001,15650.633
2015_5,15382.0,17203.74
2015_6,13333.0,17260.404
2015_7,12927.0,12147.341
2015_8,21678.0,15928.841
2015_9,25610.0,29236.344
2015_10,22420.0,23696.174
2015_11,16790.0,20506.957
2015_12,21733.0,20409.898
2016_1,39314.0,27354.24
2016_2,26460.0,30499.922
2016_3,19056.0,19406.3
2016_4,17400.0,17674.668
2016_5,13800.0,17891.645
2016_6,16442.0,17444.533
2016_7,15790.0,17155.385
2016_8,33676.0,17623.588
2016_9,31545.0,31130.451
2016_10,36326.0,32684.717
2016_11,37500.0,36214.273
2016_12,20118.0,20514.76
2017_1,13248.0,14864.124
2017_2,13720.0,15692.754
2017_3,11230.0,18847.78
2017_4,10899.999,13161.778
2017_5,12559.999,14309.797
2017_6,13189.0,18055.268
2017_7,11086.0,18517.645
2017_8,35895.0,12594.516
2017_9,47491.0,41305.812
2017_10,27505.0,36373.562
2017_11,14363.001,15331.086
2017_12,15309.001,9897.786
2018_1,18621.0,20760.15
2018_2,23200.0,17915.291
2018_3,19210.998,19938.244
2018_4,13019.0,20051.11
2018_5,14010.001,11222.093
2018_6,15350.001,19962.312
2018_7,11908.0,16436.129
2018_8,24436.0,14102.324
2018_9,34024.0,32103.342
2018_10,61071.0,32563.473
2018_11,21648.0,36145.227
2018_12,12536.0,18783.38
2019_1,14200.0,14749.547
2019_2,13768.0,18622.596
2019_3,10988.0,11126.322
2019_4,11640.0,14590.56
2019_5,12609.0,14819.587
2019_6,14300.001,16910.385
2019_7,13716.0,19654.58
2019_8,19287.0,15663.779
2019_9,34829.0,22682.451
2019_10,35832.0,43052.176
2019_11,39019.0,32700.584
2019_12,20486.0,32175.672
2020_1,20250.0,12229.327
2020_2,27578.0,23881.117
2020_3,11834.0,29310.74
2020_4,11902.0,14386.916
2020_5,10265.0,22265.385
2020_6,12958.0,11447.765
2020_7,17636.0,10743.243
2020_8,29817.998,25411.412
2020_9,49308.0,32992.785
2020_10,30400.998,19460.252
2020_11,11982.0,20582.363
2020_12,11179.999,9050.564
