year,적상추_true,적상추_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,11607.500333333335,11791.197958333336,10319.200116666665,10913.027973333335,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,12552.00025,12244.43841666667,10926.766833333333,11254.128131666668,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,9852.249916666668,11191.789250000002,11493.166841666667,11548.22518166667,1,1,0.3333333333333333,0.3333333333333333,1640.9169249999995,356.4359316666687,546.9723083333332,118.8119772222229,182.32410277777774
2009,12513.166749999999,12891.705500000002,11110.733483333333,11392.756556666669,0,0,0.25,0.25,0.0,0.0,410.2292312499999,89.10898291666717,102.55730781249997
2010,20689.91691666667,18634.059666666664,11566.566791666668,11936.703315,0,0,0.2,0.2,0.0,0.0,328.18338499999993,71.28718633333374,65.63667699999999
2011,15375.50025,13125.140291666665,13442.966833333334,13350.638158333333,0,1,0.16666666666666666,0.3333333333333333,0.0,225.49786666666841,273.4861541666666,96.98896638888952,45.581025694444435
2012,20637.24975,19508.299583333337,14196.566816666667,13617.426625000002,0,0,0.14285714285714285,0.2857142857142857,0.0,0.0,234.4167035714285,83.1333997619053,33.48810051020407
2013,18248.33325,17880.463083333332,15813.616716666667,15070.198858333335,0,0,0.125,0.25,0.0,0.0,205.11461562499994,72.74172479166714,25.639326953124993
2014,15899.00025,17891.899250000002,17492.833383333334,16407.933625,1,0,0.2222222222222222,0.2222222222222222,1593.8331333333354,0.0,359.41667314814833,64.65931092592635,79.87037181069962
2015,19393.91675,19914.640166666664,18170.000083333332,17407.972375000005,0,0,0.2,0.2,0.0,0.0,323.4750058333335,58.19337983333371,64.6950011666667
2016,25618.916666666668,23799.54016666667,17910.800049999998,17664.088475000004,0,0,0.18181818181818182,0.18181818181818182,0.0,0.0,294.06818712121225,52.90307257575792,53.46694311294768
2017,18874.666666666664,19079.325666666668,19959.483333333334,19798.968450000004,1,1,0.25,0.25,1084.8166666666693,719.6427833333364,359.96389375000035,108.46471513888946,89.99097343750009
2018,22419.5,21665.256250000002,19606.96671666667,19713.17366666667,0,0,0.23076923076923078,0.23076923076923078,0.0,0.0,332.27436346153877,100.12127551282104,76.6786992603551
2019,20056.16675,21395.686583333332,20441.200066666668,20470.132300000005,1,0,0.2857142857142857,0.21428571428571427,385.0333166666678,0.0,336.042860119048,92.96975583333382,96.01224574829942
2020,20425.999583333334,19313.489083333337,21272.63336666667,21170.889766666667,1,1,0.3333333333333333,0.26666666666666666,846.6337833333346,1857.4006833333297,370.08225500000043,210.59848433333354,123.3607516666668
