연월,참외_true,참외_pred
2001_7,19061.0,18357.623
2001_8,14207.999,16204.1875
2001_9,14210.999,14980.433
2001_10,13749.0,10888.484
2001_11,12930.999,13883.544
2001_12,15525.001,17671.66
2002_1,18119.0,13643.408
2002_2,11539.0,17209.318
2002_3,21075.998,19541.32
2002_4,30613.0,31768.648
2002_5,40150.004,40983.902
2002_6,32144.0,34735.613
2002_7,25664.0,26187.727
2002_8,15087.999,17321.53
2002_9,17872.0,19773.094
2002_10,17265.0,16486.34
2002_11,13819.0,16093.354
2002_12,14202.0,18689.621
2003_1,18405.0,17193.785
2003_2,15254.999,14618.219
2003_3,28507.0,25574.074
2003_4,41759.0,43204.965
2003_5,44299.0,47487.11
2003_6,28283.0,30027.725
2003_7,21662.0,21106.357
2003_8,21681.998,22509.467
2003_9,25164.0,22359.426
2003_10,18365.0,20189.814
2003_11,17487.0,18680.285
2003_12,19330.0,22311.584
2004_1,23118.0,26322.887
2004_2,20254.666,24118.836
2004_3,38505.332,35446.508
2004_4,56756.0,57006.945
2004_5,41094.0,45096.035
2004_6,30061.002,28828.21
2004_7,24631.0,24179.738
2004_8,20909.0,19946.807
2004_9,22063.0,22321.598
2004_10,19376.0,21123.812
2004_11,15623.999,17296.053
2004_12,16858.998,16177.631
2005_1,22462.0,21416.145
2005_2,20429.334,19959.242
2005_3,38853.668,39179.977
2005_4,57278.0,57231.785
2005_5,56698.0,58070.46
2005_6,28940.0,35090.09
2005_7,18832.0,22662.664
2005_8,19067.0,18264.379
2005_9,15989.0,16372.172
2005_10,15447.999,17563.533
2005_11,13964.999,13032.265
2005_12,14743.999,14215.263
2006_1,19549.0,15691.716
2006_2,12134.25,17011.084
2006_3,22262.5,22397.238
2006_4,32390.75,32756.398
2006_5,42519.0,44395.754
2006_6,33786.0,33271.684
2006_7,25137.0,24752.068
2006_8,20674.0,19924.459
2006_9,29273.0,22482.76
2006_10,14576.0,24373.771
2006_11,8463.0,17466.854
2006_12,7786.0,11349.997
2007_1,15707.999,15928.126
2007_2,13097.251,13166.096
2007_3,24187.498,23903.793
2007_4,35277.75,36612.285
2007_5,46368.0,47507.254
2007_6,39498.0,38288.855
2007_7,26434.0,27383.072
2007_8,23029.0,23677.223
2007_9,21405.0,22922.416
2007_10,20612.0,17864.861
2007_11,16176.999,19708.148
2007_12,16293.0,15252.682
2008_1,21708.998,15835.792
2008_2,11736.999,18066.723
2008_3,21466.0,24792.969
2008_4,31195.0,31631.145
2008_5,40924.0,40523.695
2008_6,37741.0,36521.355
2008_7,25253.0,31516.44
2008_8,25971.0,24034.262
2008_9,22467.0,25659.4
2008_10,20648.0,18630.662
2008_11,17828.0,20115.729
2008_12,20786.998,17828.066
2009_1,23746.0,18513.28
2009_2,15547.0,22247.146
2009_3,29085.0,30453.723
2009_4,42623.0,43385.11
2009_5,56161.0,55007.832
2009_6,31537.0,34087.25
2009_7,28218.0,28286.654
2009_8,23414.0,23113.605
2009_9,23980.0,25980.752
2009_10,25218.0,24622.879
2009_11,16132.999,20451.316
2009_12,13066.0,15250.943
2010_1,20361.5,20736.031
2010_2,19081.25,22278.447
2010_3,36152.5,30817.871
2010_4,53223.754,55056.55
2010_5,70295.0,70067.18
2010_6,50245.0,47556.67
