year,참외_true,참외_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,22379.208333333332,23822.81525,23151.2665,23876.526399999995,1,1,1.0,1.0,772.0581666666694,53.71114999999554,772.0581666666694,53.71114999999554,772.0581666666694
2007,24840.54141666667,25184.567583333333,24637.608233333332,25574.89173333333,0,1,0.5,1.0,0.0,390.32414999999673,386.0290833333347,222.01764999999614,193.01454166666736
2008,24810.499583333334,25429.686499999996,25313.199833333336,26071.240666666657,1,1,0.6666666666666666,1.0,502.7002500000017,641.5541666666613,424.9194722222237,361.8631555555512,283.27964814814914
2009,27393.999916666668,28450.040833333336,25271.999799999998,26069.464449999992,0,0,0.5,0.75,0.0,0.0,318.6896041666678,271.3973666666634,159.3448020833339
2010,34731.167,34585.918666666665,25263.283166666668,26128.388283333326,0,0,0.4,0.6,0.0,0.0,254.95168333333422,217.11789333333073,101.9806733333337
2011,27644.861083333337,27753.7505,26831.083250000003,27494.605766666664,0,0,0.3333333333333333,0.5,0.0,0.0,212.45973611111185,180.9315777777756,70.81991203703728
2012,34889.27783333333,34720.013166666664,27884.213799999998,28280.792816666664,0,0,0.2857142857142857,0.42857142857142855,0.0,0.0,182.10834523809586,155.08420952380766,52.0309557823131
2013,36960.055166666665,37430.774666666664,29893.961083333328,30187.881933333334,0,0,0.25,0.375,0.0,0.0,159.3448020833339,135.6986833333317,39.83620052083347
2014,35865.451166666666,34290.03966666667,32323.872199999994,32588.099566666664,0,0,0.2222222222222222,0.3333333333333333,0.0,0.0,141.63982407407457,120.6210518518504,31.475516460905457
2015,36074.521,36485.35925,34018.16244999999,33756.09933333333,0,0,0.2,0.3,0.0,0.0,127.47584166666711,108.55894666666536,25.495168333333424
2016,39202.395833333336,38455.09883333333,34286.83324999999,34135.98745,0,0,0.18181818181818182,0.2727272727272727,0.0,0.0,115.88712878787919,98.68995151515033,21.070387052341673
2017,33737.603833333334,36164.75675,36598.34019999999,36276.25711666667,1,1,0.25,0.3333333333333333,2860.736366666657,111.5003666666671,344.6245652777773,99.75748611111005,86.15614131944433
2018,43207.11666666667,39683.304249999994,36368.00539999999,36565.20583333333,0,0,0.23076923076923078,0.3076923076923077,0.0,0.0,318.11498333333293,92.08383333333236,73.4111499999999
2019,39071.40416666667,40938.50358333333,37617.41769999999,37015.71175,0,0,0.21428571428571427,0.2857142857142857,0.0,0.0,295.3924845238092,85.50641666666577,63.298389540816245
2020,50190.89683333333,44470.62658333334,38258.60829999999,38345.404533333334,0,0,0.2,0.26666666666666666,0.0,0.0,275.69965222222186,79.80598888888805,55.139930444444374
