연월,콩(흰콩국산)_true,콩(흰콩국산)_pred
2001_7,90544.0,88321.22
2001_8,90896.0,92747.51
2001_9,89667.0,90526.68
2001_10,89000.0,90189.21
2001_11,89000.0,90663.37
2001_12,89000.0,90192.39
2002_1,89000.0,89968.14
2002_2,89000.0,90285.49
2002_3,90190.0,90353.37
2002_4,91504.0,92282.1
2002_5,91711.99,93038.06
2002_6,99271.99,92836.45
2002_7,107599.99,105736.555
2002_8,108480.0,110506.58
2002_9,105062.0,108608.78
2002_10,99739.0,106767.76
2002_11,100599.99,99111.586
2002_12,103908.0,102916.586
2003_1,103083.0,103993.54
2003_2,104599.99,100782.51
2003_3,108652.0,107504.81
2003_4,114959.99,111126.805
2003_5,122640.0,118116.945
2003_6,124750.0,127301.26
2003_7,128200.0,126187.31
2003_8,130862.0,134022.1
2003_9,129962.01,133999.89
2003_10,123487.0,129612.73
2003_11,127846.0,119946.734
2003_12,136160.0,134467.66
2004_1,139231.0,140233.64
2004_2,144522.0,138457.44
2004_3,151542.0,151572.72
2004_4,170115.0,158864.94
2004_5,194500.0,186969.5
2004_6,230666.98,211112.69
2004_7,263769.0,246288.4
2004_8,225226.98,246829.33
2004_9,211217.0,203669.86
2004_10,179737.0,188012.67
2004_11,162571.0,164354.06
2004_12,149091.0,153405.2
2005_1,148450.0,144397.17
2005_2,149857.0,151386.89
2005_3,157329.0,153409.12
2005_4,168809.0,162601.39
2005_5,164410.0,178170.2
2005_6,157864.0,159373.3
2005_7,151476.0,155992.67
2005_8,141800.0,150522.16
2005_9,128879.0,135362.17
2005_10,124900.0,120099.305
2005_11,122114.0,125272.73
2005_12,121913.0,120508.35
2006_1,114859.0,120757.805
2006_2,105643.0,108032.35
2006_3,102399.99,100886.5
2006_4,99317.99,102502.15
2006_5,97969.99,95802.15
2006_6,92999.99,96816.72
2006_7,93429.0,89331.34
2006_8,93800.0,95983.62
2006_9,93709.0,92796.79
2006_10,89723.0,93968.73
2006_11,85379.0,88271.5
2006_12,80705.0,85603.38
2007_1,82765.0,79965.484
2007_2,82855.0,86461.914
2007_3,85147.0,81984.28
2007_4,84200.0,89042.63
2007_5,83438.0,84770.06
2007_6,84229.0,86278.38
2007_7,85590.0,86917.25
2007_8,84714.0,87633.57
2007_9,84291.0,85648.52
2007_10,83929.0,86918.89
