연월,토마토_true,토마토_pred
2001_7,11483.0,12502.358
2001_8,11792.0,14796.914
2001_9,15822.0,18423.102
2001_10,17744.0,20694.434
2001_11,18440.0,19991.297
2001_12,17518.334,17040.955
2002_1,16596.666,16784.342
2002_2,7504.5005,17588.836
2002_3,13007.0,10135.139
2002_4,18509.5,19896.646
2002_5,24012.0,24725.018
2002_6,22923.0,22524.28
2002_7,14736.0,17181.344
2002_8,10565.0,10911.672
2002_9,13426.0,14492.436
2002_10,19664.0,21552.775
2002_11,21698.0,22367.86
2002_12,21067.0,20327.035
2003_1,17728.0,17293.883
2003_2,17792.0,16962.504
2003_3,21087.0,20920.098
2003_4,24600.0,26804.855
2003_5,20832.0,25386.123
2003_6,18475.0,17174.053
2003_7,13750.001,17609.717
2003_8,23408.0,18375.727
2003_9,30554.0,28375.5
2003_10,23217.0,24015.73
2003_11,31191.998,30011.03
2003_12,30016.002,29324.432
2004_1,24900.0,25649.684
2004_2,27956.998,27864.69
2004_3,33592.0,31578.967
2004_4,35623.0,37112.14
2004_5,30108.0,33775.094
2004_6,22042.0,22005.174
2004_7,15677.0,18170.658
2004_8,13982.0,15650.226
2004_9,19270.0,20867.736
2004_10,31011.0,29601.75
2004_11,28990.0,28562.305
2004_12,16218.0,19804.188
2005_1,16590.0,17411.635
2005_2,19505.0,20931.76
2005_3,24212.0,24856.53
2005_4,29709.0,32149.355
2005_5,29171.0,29479.422
2005_6,19845.0,26560.695
2005_7,12343.0,12725.166
2005_8,18582.0,16148.256
2005_9,20033.0,21062.396
2005_10,20545.0,22976.918
2005_11,20238.0,23542.076
2005_12,18365.0,20227.248
2006_1,18182.0,18404.484
2006_2,19082.0,20006.047
2006_3,24570.002,22447.486
2006_4,28609.0,27389.12
2006_5,24489.998,27954.527
2006_6,19870.0,21734.646
2006_7,13943.0,16913.127
2006_8,14350.0,14981.267
2006_9,23173.0,18408.564
2006_10,29827.0,29849.188
2006_11,19568.0,22494.613
2006_12,14790.0,16735.82
2007_1,17090.0,16858.076
2007_2,20991.0,20346.715
2007_3,28168.0,27852.307
2007_4,29143.0,30115.904
2007_5,27267.0,24209.451
2007_6,18905.0,23115.143
2007_7,11340.001,13665.964
2007_8,11705.0,13032.989
2007_9,10973.0,13986.6
2007_10,23071.0,19091.443
2007_11,33264.0,29816.139
2007_12,29455.002,28688.781
2008_1,29305.0,28464.793
2008_2,21682.0,23218.215
2008_3,20622.0,21480.004
2008_4,24674.002,27064.332
2008_5,23486.0,30634.25
2008_6,18568.0,21636.127
2008_7,12410.0,17071.406
2008_8,15687.001,15355.622
2008_9,18970.0,21843.963
2008_10,19790.0,21508.951
2008_11,21318.0,20628.357
2008_12,16420.0,20021.51
2009_1,19657.0,15106.846
2009_2,24453.002,22291.117
2009_3,30670.002,30414.074
2009_4,31645.0,34633.797
2009_5,29045.0,29619.785
2009_6,19663.0,20936.65
2009_7,13636.0,14142.055
2009_8,12948.0,15468.618
2009_9,18571.0,15561.488
2009_10,21055.0,28677.555
2009_11,18714.0,19048.268
2009_12,17305.0,16090.687
2010_1,23532.998,17424.092
