year,토마토_true,토마토_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,20871.166666666668,21443.240749999997,20174.43889166667,21272.553733333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,21781.00025,21731.626,21255.36109166667,22112.899883333335,0,1,0.0,0.5,0.0,381.2738833333351,0.0,190.63694166666755,0.0
2008,20244.333583333333,22410.627500000002,22216.4167,22817.768700000004,1,1,0.3333333333333333,0.6666666666666666,1972.0831166666685,407.14120000000185,657.3610388888895,262.805027777779,219.1203462962965
2009,21446.83366666667,21832.578333333335,21721.100066666666,22762.333333333336,1,1,0.5,0.75,274.2663999999968,929.755000000001,561.5873791666663,429.5425208333345,280.79368958333316
2010,29513.666666666668,27988.73591666666,21020.966833333332,21951.472133333336,0,0,0.4,0.6,0.0,0.0,449.26990333333305,343.6340166666676,179.70796133333323
2011,30201.999833333335,30065.23241666667,22771.400166666666,23081.361700000005,0,0,0.3333333333333333,0.5,0.0,0.0,374.3915861111109,286.36168055555635,124.79719537037029
2012,31954.083,31837.316666666662,24637.566799999997,24805.760033333343,0,0,0.2857142857142857,0.42857142857142855,0.0,0.0,320.90707380952364,245.4528690476197,91.68773537414961
2013,28341.833666666662,28498.997166666664,26672.183349999996,26826.898166666673,0,0,0.25,0.375,0.0,0.0,280.79368958333316,214.77126041666725,70.19842239583329
2014,25830.416666666668,25615.03458333333,28291.683366666664,28044.57210000001,1,1,0.3333333333333333,0.4444444444444444,2461.2666999999965,2429.537516666678,523.068468518518,460.85640000000177,174.35615617283932
2015,23669.666666666668,23693.63825,29168.39996666666,28801.063350000004,1,1,0.4,0.5,5498.733299999993,5107.425100000004,1020.6349516666654,925.513270000002,408.25398066666617
2016,26020.166666666668,26418.70958333333,27999.59996666666,27942.04381666667,1,1,0.45454545454545453,0.5454545454545454,1979.4332999999933,1523.3342333333421,1107.7984378787862,979.860630303033,503.54474449035735
2017,28638.333333333332,28081.54324999999,27163.233333333326,27212.739250000002,0,0,0.4166666666666667,0.5,0.0,0.0,1015.4819013888873,898.2055777777801,423.1174589120364
2018,27246.000166666665,25442.494083333335,26500.083399999992,26461.58456666667,0,1,0.38461538461538464,0.5384615384615384,0.0,1019.0904833333334,937.3679089743575,907.5044166666689,360.5261188362914
2019,26211.416666666668,27279.33858333334,26280.91669999999,25850.28395,1,0,0.42857142857142855,0.5,69.50003333332279,0.0,875.3773464285694,842.6826726190496,375.1617198979583
2020,34818.9165,35100.099083333334,26357.11669999999,26183.14475,0,0,0.4,0.4666666666666667,0.0,0.0,817.0188566666646,786.5038277777797,326.8075426666659
