연월,팥(국산)_true,팥(국산)_pred
2001_7,147000.0,149234.16
2001_8,147000.0,149051.98
2001_9,146926.0,149072.06
2001_10,145240.0,148982.45
2001_11,148457.98,146728.39
2001_12,147000.0,151640.44
2002_1,141079.98,148709.14
2002_2,139191.98,140670.9
2002_3,138619.0,140859.84
2002_4,137559.98,140638.17
2002_5,135040.0,138503.17
2002_6,130639.99,135500.31
2002_7,129999.99,130485.68
2002_8,129440.0,131036.39
2002_9,125423.0,130258.58
2002_10,121913.0,124355.21
2002_11,122808.0,121152.42
2002_12,132107.98,123555.82
2003_1,133891.98,135052.9
2003_2,152159.98,133638.66
2003_3,169347.98,158118.4
2003_4,178640.0,176901.34
2003_5,196560.0,182532.75
2003_6,201500.0,206333.66
2003_7,203917.0,207799.08
2003_8,204923.0,207158.44
2003_9,204031.0,209111.19
2003_10,209150.0,206336.48
2003_11,223007.98,213287.05
2003_12,227040.0,230964.31
2004_1,219115.0,231321.14
2004_2,204217.0,217432.4
2004_3,202933.0,200191.5
2004_4,203600.0,203227.39
2004_5,205350.0,206457.75
2004_6,208975.0,207226.9
2004_7,201414.98,212576.5
2004_8,180955.0,201194.25
2004_9,170304.0,175151.03
2004_10,160578.98,167942.14
2004_11,161476.0,160344.7
2004_12,171317.98,163607.02
2005_1,169950.0,177890.22
2005_2,162000.0,171833.61
2005_3,158765.0,161287.0
2005_4,158091.0,161104.75
2005_5,159761.98,161195.84
2005_6,158817.98,162805.1
2005_7,154571.0,161068.92
2005_8,147591.0,155568.06
2005_9,138708.0,147930.39
2005_10,138317.98,138307.38
2005_11,140666.98,140533.5
2005_12,151739.0,143583.55
2006_1,158909.0,156573.53
2006_2,158000.0,162864.94
2006_3,158149.98,159046.75
2006_4,158067.98,160995.7
2006_5,156799.98,161356.88
2006_6,150779.98,158957.58
2006_7,150305.0,151327.89
2006_8,150000.0,152680.72
2006_9,150045.0,152790.23
2006_10,151454.98,151991.92
2006_11,151946.98,154237.47
2006_12,146952.0,154414.92
2007_1,146049.98,147419.8
2007_2,150636.0,148029.97
2007_3,162999.98,154927.84
2007_4,166809.98,169347.56
2007_5,165761.98,170159.0
2007_6,163285.98,167437.3
2007_7,162400.0,165922.52
2007_8,161762.0,165285.05
2007_9,161055.0,164522.5
2007_10,164600.0,163517.8
2007_11,191091.0,168653.0
2007_12,256544.98,203818.83
2008_1,235262.98,284942.5
2008_2,227227.0,230558.92
2008_3,246388.98,220115.53
2008_4,256332.98,259942.42
2008_5,259999.98,262400.06
2008_6,253263.0,260157.66
2008_7,253100.0,251833.61
2008_8,257391.0,252138.36
2008_9,262400.0,259793.95
2008_10,262905.0,264157.8
2008_11,229090.98,263061.25
2008_12,182700.0,217026.81
2009_1,179429.0,163056.14
2009_2,178105.0,175416.64
2009_3,177100.0,181595.69
2009_4,177455.0,176488.94
2009_5,175773.0,180371.72
2009_6,174999.98,178180.95
2009_7,175227.0,177519.11
2009_8,176000.0,178447.89
2009_9,176000.0,179235.4
2009_10,176000.0,178973.27
2009_11,175513.98,178961.61
2009_12,170810.0,178413.12
2010_1,167856.98,172122.52
2010_2,167600.0,169595.14
2010_3,168000.0,170721.8
2010_4,168544.98,171006.02
2010_5,169518.0,171509.84
2010_6,172842.0,172794.5
2010_7,178667.0,177030.38
2010_8,178227.0,183865.36
2010_9,177999.98,181135.94
2010_10,178337.0,180669.27
2010_11,197524.0,181957.53
2010_12,297636.0,207550.61
2011_1,336391.0,339506.5
2011_2,344952.0,355417.66
2011_3,345647.0,341630.2
2011_4,345000.0,350223.56
2011_5,345301.0,349089.84
2011_6,341432.0,347943.03
2011_7,338078.0,341986.44
2011_8,336142.0,337635.2
2011_9,336530.0,337135.62
2011_10,337683.0,337800.12
2011_11,342050.0,339339.6
2011_12,342727.0,344708.62
2012_1,342000.0,344869.9
2012_2,340300.0,342558.28
2012_3,343333.0,341493.28
2012_4,367619.0,345821.12
2012_5,392500.0,378703.16
2012_6,402190.0,406867.44
2012_7,414550.0,408252.34
2012_8,416591.0,423484.53
2012_9,419455.0,426438.44
2012_10,438600.0,422066.88
2012_11,440714.0,449132.47
2012_12,458682.0,443130.53
2013_1,459736.97,458813.8
2013_2,448682.0,463980.56
2013_3,447632.0,430483.47
2013_4,451410.0,438554.44
2013_5,455418.0,438001.47
2013_6,458000.0,436965.03
2013_7,457558.0,444485.44
2013_8,455200.0,443853.12
2013_9,455200.0,438944.9
2013_10,453756.0,438221.62
2013_11,404448.0,435453.53
2013_12,250981.0,370116.3
2014_1,231856.98,197052.16
2014_2,230999.98,219633.66
2014_3,230999.98,253285.81
