year,팥(국산)_true,팥(국산)_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,153450.90666666665,156436.54416666666,163007.61066666667,164869.33150000003,1,1,1.0,1.0,9556.704000000027,8432.78733333337,9556.704000000027,8432.78733333337,9556.704000000027
2007,171083.07333333333,165753.43083333335,164310.326,166332.991,0,1,0.5,1.0,0.0,579.5601666666626,4778.3520000000135,4506.173750000016,2389.1760000000068
2008,243838.49166666667,252177.40583333335,172129.89233333332,172721.58333333337,0,0,0.3333333333333333,0.6666666666666666,0.0,0.0,3185.568000000009,3004.115833333344,1061.856000000003
2009,176034.41333333333,177221.70666666667,182494.77533333335,185369.82683333338,1,1,0.5,0.75,6460.362000000023,8148.120166666718,4004.2665000000125,4290.116916666688,2002.1332500000062
2010,185229.41166666665,178329.90916666668,179531.04233333335,181702.9561666667,0,1,0.4,0.8,0.0,3373.0470000000205,3203.41320000001,4106.702933333354,1281.365280000004
2011,340994.4166666667,343534.6991666667,185927.25933333332,185983.79933333336,0,0,0.3333333333333333,0.6666666666666666,0.0,0.0,2669.511000000008,3422.252444444462,889.8370000000027
2012,398044.5,394401.5308333333,223435.96133333334,223403.43033333338,0,0,0.2857142857142857,0.5714285714285714,0.0,0.0,2288.1522857142927,2933.359238095253,653.7577959183693
2013,433168.4975,436489.4733333334,268828.2466666667,269133.0503333333,0,0,0.25,0.5,0.0,0.0,2002.1332500000062,2566.6893333333464,500.53331250000156
2014,230393.90500000003,230342.85916666666,306694.2478333333,305995.46383333334,1,1,0.3333333333333333,0.5555555555555556,76300.3428333333,75652.60466666668,10257.489870370373,10687.346592592607,3419.1632901234575
2015,181772.08,184573.1791666667,317566.1461666667,316619.69433333335,1,1,0.4,0.6,135794.06616666671,132046.51516666665,22811.147500000006,22823.26345000001,9124.459000000003
2016,208688.49166666667,197317.8158333333,316874.67983333336,317868.3483333333,1,1,0.45454545454545453,0.6363636363636364,108186.18816666669,120550.53250000003,30572.51483333334,31707.560636363647,13896.597651515154
2017,519849.5,476200.9025,290413.49483333336,288624.9716666667,0,0,0.4166666666666667,0.5833333333333334,0.0,0.0,28024.805263888895,29065.263916666678,11677.00219328704
2018,342306.4166666667,301211.66666666674,314774.49483333336,304984.846,0,1,0.38461538461538464,0.6153846153846154,0.0,3773.1793333332753,25869.05101282052,27119.718948717953,9949.63500493097
2019,445996.6641666666,441987.10250000004,296602.0786666667,277929.2846666667,0,0,0.35714285714285715,0.5714285714285714,0.0,0.0,24021.26165476191,25182.596166666674,8579.022019557826
2020,358626.4166666667,351063.66583333333,339722.6305,320258.1333333334,0,0,0.3333333333333333,0.5333333333333333,0.0,0.0,22419.844211111118,23503.756422222228,7473.281403703706
