연월,포도(캠벨)_true,포도(캠벨)_pred
2001_7,16940.143,16453.338
2001_8,19430.0,19471.625
2001_9,9959.0,10906.524
2001_10,8944.0,8835.106
2001_11,8958.0,8485.237
2001_12,8499.999,8835.737
2002_1,9449.0,9279.068
2002_2,4715.2856,6816.1055
2002_3,7428.571,5983.0557
2002_4,10141.857,10465.496
2002_5,12855.144,13556.248
2002_6,15568.429,15603.489
2002_7,18281.713,18153.729
2002_8,20995.0,21408.457
2002_9,12165.0,12308.846
2002_10,11329.999,12045.93
2002_11,11238.0,10916.946
2002_12,9860.0,8900.424
2003_1,11643.5,11127.744
2003_2,5810.714,8997.919
2003_3,9618.429,8289.353
2003_4,13426.144,10710.29
2003_5,17233.857,16418.977
2003_6,21041.57,21094.152
2003_7,24849.287,24873.016
2003_8,28657.0,28592.326
2003_9,19062.0,20653.469
2003_10,13157.0,14085.634
2003_11,15119.0,14656.441
2003_12,14720.0,14698.419
2004_1,11222.0,12010.881
2004_2,7503.3335,6926.166
2004_3,13002.667,11538.618
2004_4,18502.0,13880.82
2004_5,24001.332,23436.701
2004_6,29500.668,29466.006
2004_7,35000.0,34894.355
2004_8,28327.002,29911.707
2004_9,16817.0,15739.672
2004_10,16316.0,16330.977
2004_11,19873.0,18873.922
2004_12,20133.332,19887.52
2005_1,20393.668,20036.055
2005_2,7724.9995,6448.6763
2005_3,13445.0,13156.002
2005_4,19165.0,18687.012
2005_5,24885.0,25278.588
2005_6,30605.002,30688.512
2005_7,36325.0,36049.926
2005_8,27236.0,26477.068
2005_9,13567.0,14202.535
2005_10,13318.0,13429.917
2005_11,12524.0,13417.094
2005_12,11970.999,11998.2705
2006_1,14647.5,13746.833
2006_2,5699.4287,9214.666
2006_3,9392.856,7772.7925
2006_4,13086.285,11812.217
2006_5,16779.715,17981.006
2006_6,20473.143,20415.008
2006_7,24166.57,24227.398
2006_8,27860.0,27462.238
2006_9,22091.0,20553.42
2006_10,13482.0,16551.45
2006_11,14289.0,14709.681
2006_12,13451.0,14154.05
2007_1,16055.5,15792.258
2007_2,5716.8574,5361.5786
2007_3,9426.714,10069.995
2007_4,13136.571,14715.322
2007_5,16846.43,17770.08
2007_6,20556.285,20466.914
2007_7,24266.143,24323.078
2007_8,27976.0,27617.129
2007_9,18845.0,20572.531
2007_10,15212.0,14283.309
2007_11,15309.0,16428.248
2007_12,15500.0,14541.882
2008_1,17118.0,15895.927
2008_2,6046.0,5264.0312
2008_3,10084.0,9792.854
2008_4,14122.0,13738.167
2008_5,18160.0,17362.29
2008_6,22198.0,22288.94
2008_7,26236.0,26209.201
2008_8,30274.0,30991.908
2008_9,19940.0,20852.9
2008_10,12476.0,13182.09
2008_11,15071.0,14717.184
2008_12,16507.002,16494.648
2009_1,17943.0,18275.84
2009_2,5264.8564,6011.734
2009_3,8520.714,9448.33
2009_4,11776.571,11575.416
2009_5,15032.429,15687.885
2009_6,18288.285,18680.152
2009_7,21544.143,21704.414
2009_8,24800.0,24508.783
2009_9,14229.0,18528.066
2009_10,14309.0,14815.331
2009_11,14390.0,14177.294
2009_12,12557.0,12692.573
2010_1,14334.0,15232.934
2010_2,7052.142,9300.227
2010_3,12094.285,9089.811
2010_4,17136.43,17186.24
2010_5,22178.572,18858.08
2010_6,27220.715,27246.184
2010_7,32262.857,32256.656
2010_8,37305.0,35357.414
2010_9,25409.0,26293.553
2010_10,18379.0,18428.512
2010_11,15771.0,15865.297
2010_12,12920.0,12649.678
2011_1,16627.5,16540.293
2011_2,6623.7144,9716.218
2011_3,11236.429,9182.999
2011_4,15849.144,15691.93
2011_5,20461.857,20090.098
2011_6,25074.572,25065.02
2011_7,29687.287,29641.111
2011_8,34300.0,35567.594
2011_9,27745.002,26785.734
