year,포도(캠벨)_true,포도(캠벨)_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,16284.874808333334,16550.06329166667,15919.779776666666,15806.294483333335,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,16570.5417,16828.52705,16752.383338333333,16683.388241666667,1,0,0.5,0.0,181.8416383333315,0.0,90.92081916666575,0.0,45.460409583332876
2008,17352.666833333333,17232.511683333334,17666.025035,17625.130415,1,1,0.6666666666666666,0.3333333333333333,313.358201666666,392.61873166666555,165.0666133333325,130.8729105555552,110.04440888888833
2009,14887.916533333331,15508.818166666666,17897.583384999998,17835.00375166667,1,1,0.75,0.5,3009.666851666667,2326.1855850000047,876.2166729166661,679.7010791666676,657.1625046874996
2010,20171.91675,19813.715499999995,16871.861116666667,17055.144968333338,0,0,0.6,0.4,0.0,0.0,700.9733383333329,543.7608633333341,420.5840029999997
2011,20848.292116666667,20917.244583333337,17053.583325,17186.727138333335,0,0,0.5,0.3333333333333333,0.0,0.0,584.1444486111108,453.1340527777784,292.0722243055554
2012,18116.916716666663,17817.398083333337,17966.266786666667,18060.163396666667,0,1,0.42857142857142855,0.42857142857142855,0.0,242.7653133333297,500.69524166666633,423.0813757142857,214.58367499999986
2013,18146.458416666665,17953.982,18275.541789999996,18257.937603333332,1,1,0.5,0.5,129.0833733333311,303.95560333333196,454.24375812499943,408.1906541666665,227.12187906249972
2014,14716.999916666668,15014.446566666666,18434.300106666662,18402.231666666667,1,1,0.5555555555555556,0.5555555555555556,3717.3001899999945,3387.785100000001,816.8055838888878,739.2567037037037,453.780879938271
2015,15480.666533333335,15678.372666666668,18400.116783333327,18303.357346666668,1,1,0.6,0.6,2919.4502499999926,2624.9846799999996,1027.0700504999982,927.8295013333333,616.2420302999989
2016,15741.180616666667,15693.136783333333,17461.866739999994,17476.288780000003,1,1,0.6363636363636364,0.6363636363636364,1720.6861233333275,1783.1519966666692,1090.12605712121,1005.586091818182,693.7165818044062
2017,17365.2225,16127.312458333332,16440.444439999996,16431.467220000002,0,1,0.5833333333333334,0.6666666666666666,0.0,304.1547616666703,999.2822190277758,947.1334809722226,582.9146277662026
2018,17983.943883333333,19052.88841666667,16290.105596666664,16093.450095000002,0,0,0.5384615384615384,0.6153846153846154,0.0,0.0,922.4143560256392,874.2770593589747,496.6846532445749
2019,16526.194633333333,17373.652833333337,16257.60269,16313.231378333334,0,0,0.5,0.5714285714285714,0.0,0.0,856.5276163095222,811.8286979761908,428.2638081547611
2020,17834.027833333334,16703.878566666666,16619.441633333332,16785.07263166667,0,1,0.4666666666666667,0.6,0.0,81.19406500000332,799.4257752222206,763.1197224444451,373.06536177036963
