연월,풋고추_true,풋고추_pred
2001_7,20808.0,14342.608
2001_8,26679.998,27436.904
2001_9,26525.998,25787.71
2001_10,24192.0,37710.227
2001_11,16292.0,33106.492
2001_12,17491.998,22671.584
2002_1,22664.0,26990.486
2002_2,41738.0,34051.07
2002_3,61543.0,55324.797
2002_4,48504.0,58718.95
2002_5,27311.998,35305.13
2002_6,38231.996,35371.035
2002_7,23616.998,30466.363
2002_8,17888.0,24276.629
2002_9,22438.0,19904.584
2002_10,28922.0,34252.04
2002_11,21008.0,31208.316
2002_12,46131.004,29771.41
2003_1,61683.004,59851.18
2003_2,46728.0,65174.492
2003_3,44287.0,42561.38
2003_4,57648.0,53623.633
2003_5,26288.0,54918.066
2003_6,31557.998,41633.297
2003_7,22725.0,36427.902
2003_8,24646.0,27748.35
2003_9,24407.998,25047.293
2003_10,32591.0,35236.668
2003_11,28630.998,35816.844
2003_12,29271.998,38348.418
2004_1,30753.998,35329.39
2004_2,39635.0,37724.72
2004_3,45050.0,43185.63
2004_4,44908.0,52902.023
2004_5,29699.998,46598.94
2004_6,29757.998,27744.697
2004_7,28207.998,33361.906
2004_8,29363.998,33046.65
2004_9,28712.998,27236.787
2004_10,32095.0,34772.895
2004_11,31723.998,37439.777
2004_12,35736.0,38846.234
2005_1,36320.0,41213.562
2005_2,39056.996,42486.18
2005_3,57494.004,42803.688
2005_4,54817.996,64911.594
2005_5,40810.0,56314.008
2005_6,29244.998,40955.363
2005_7,24818.998,28543.064
2005_8,27290.998,29243.043
2005_9,21367.0,25029.645
2005_10,30063.998,22535.217
2005_11,26676.0,35116.492
2005_12,26296.0,38063.97
2006_1,32263.998,30582.209
2006_2,62027.0,41765.945
2006_3,81420.0,72029.06
2006_4,69691.0,66722.08
2006_5,41210.0,46536.49
2006_6,43100.0,44382.516
2006_7,31247.998,31054.088
2006_8,37130.0,34057.656
2006_9,43082.0,38431.305
2006_10,44100.0,49005.44
2006_11,19895.002,39632.082
2006_12,22848.0,15488.223
2007_1,37120.0,28952.88
2007_2,39764.0,43215.363
2007_3,49189.0,37478.074
2007_4,43581.0,47697.484
2007_5,34724.0,46817.15
2007_6,31076.0,34917.887
2007_7,25940.0,31698.969
2007_8,26266.998,28146.209
2007_9,26072.998,26178.812
2007_10,41188.0,29892.31
2007_11,38335.996,46167.582
2007_12,52691.004,46811.254
2008_1,66621.0,56692.97
2008_2,68018.0,66197.3
2008_3,62956.0,68837.055
2008_4,51476.0,55340.426
2008_5,34181.0,42528.1
2008_6,32273.998,41557.062
2008_7,26809.998,35080.07
2008_8,25286.998,27969.842
2008_9,22620.0,23318.424
2008_10,19962.002,27648.389
2008_11,23836.0,24975.918
2008_12,31499.998,32784.562
2009_1,34990.0,43188.887
2009_2,56568.0,46757.605
2009_3,86610.0,61075.203
2009_4,75755.0,71098.85
2009_5,41545.0,48168.58
2009_6,40211.0,43413.074
2009_7,30845.0,28855.041
2009_8,34070.0,28488.74
2009_9,29447.998,34759.62
2009_10,29317.998,32367.451
2009_11,25810.0,28181.6
2009_12,39429.0,31861.441
2010_1,49409.996,41479.367
2010_2,48470.0,59914.434
2010_3,73884.0,50364.926
2010_4,101164.0,69161.02
2010_5,63772.996,71364.29
2010_6,48000.0,48403.973
2010_7,35381.0,38385.24
2010_8,33127.0,29942.459
2010_9,28544.998,30540.889
2010_10,57779.0,28566.871
2010_11,47590.0,50882.164
2010_12,54245.0,52671.516
2011_1,35851.996,55801.484
2011_2,39802.0,47469.133
2011_3,46399.996,45496.168
2011_4,63545.0,55095.234
2011_5,29837.998,59477.902
2011_6,36210.0,31166.688
2011_7,35475.996,34176.953
2011_8,52009.996,38095.31
2011_9,49473.0,47485.113
2011_10,43010.0,49708.547
2011_11,42810.0,44009.824
2011_12,41355.0,45847.766
2012_1,50466.996,49375.992
2012_2,63630.0,53228.61
2012_3,88905.0,70888.46
2012_4,88762.0,85587.74
2012_5,47970.0,54453.555
2012_6,52390.0,41451.55
2012_7,33399.996,34635.543
2012_8,33118.0,33395.26
2012_9,38972.996,41553.184
2012_10,59550.0,46906.23
2012_11,44686.0,50754.465
2012_12,52900.0,43875.062
2013_1,63432.0,51727.074
2013_2,70909.0,63430.453
2013_3,86295.0,85164.08
2013_4,67700.0,61406.844
2013_5,40173.0,45688.035
2013_6,37209.996,37184.316
2013_7,37958.0,30989.168
2013_8,39357.0,34600.293
2013_9,36648.0,37983.754
2013_10,38500.0,37469.504
2013_11,24856.998,41236.66
2013_12,31485.998,27671.87
2014_1,34276.0,33002.516
